Date:,1/7/2021 23:38,,,,
Tool:,Eeschema (5.1.8)-1,,,,
Component Count:,119,,,,
Ref,Qty,Value,Vendor,Vendor PN,Digi-Key PN
"C1, C6, C9, C23, C24, C29, C31, C33, C34",9,0.1uF,Taiyo Yuden,TMK105BJ104KV-F,587-1456-1-ND
"C2, C3, C5, C7, C10, C19, C27, C28",8,22uF,Samsung,CL31A226KAHNNNE,1276-3047-1-ND
"C4, C8, C11, C14, C18, C26, C32",7,1.0uF,Murata Electronics,GRM155R61E105KA12D,490-10017-1-ND
"C12, C16",2,47nF,Murata,GRM155R71E473KA88D,490-3254-1-ND
C13,1,4700pF,Yageo,CC0402KRX7R8BB472,311-1039-1-ND
"C15, C22",2,4.7uF,Samsung,CL10A475KA8NQNC,1276-1900-1-ND
"C17, C20, C21",3,10uF,Murata,GRM21BR61E106KA73L,490-5523-1-ND
C25,1,DNP,DNP,,
C30,1,10nF,Murata,GCM155R71H103KA55D,490-4762-1-ND
"D1, D3, D4, D5, D6",5,BZT585B13T-7,Diodes Incorporated,BZT585B13T-7,BZT585B13T-7DICT-ND
"D2, D8",2,DNP,DNP,,
D7,1,APA102-2020,,,
"H1, H2, H3, H4",4,DNP,DNP,,
J1,1,Raspberry_Pi_2_3,DNP,,
J2,1,JST-PH,JST,S2B-PH-K-S(LF)(SN),
J3,1,DNP,Adafruit,724,
J4,1,DNP,DNP,DNP,
J5,1,DNP,DNP,DNP,
J6,1,USB_C_Receptacle_USB2.0,Korean Hroparts Elec,TYPE-C-31-M-12,
J7,1,Conn_01x03,DNP,,
J8,1,Conn_02x05_Odd_Even,DNP,,
J9,1,Conn_01x02,DNP,,
J10,1,Conn_01x04,DNP,,
J11,1,QWIIC_Connector,JST,SM04B-SRSS-TB(LF)(SN),455-1804-1-ND
J12,1,DNP,JST,SM04B-SRSS-TB(LF)(SN),455-1804-1-ND
J13,1,Conn_01x06,DNP,,
"JP1, JP7",2,DNP,DNP,,
"JP2, JP3, JP4",3,NC,DNP,,
JP5,1,Jumper_NC_Small,DNP,,
"JP6, JP8",2,Jumper_NO_Small,DNP,,
"JP9, JP10, JP11, JP12",4,Jumper_NC_Small,DNP,,
L1,1,1.2uH,Sumida,CDMC8D28NP-1R2MC,308-1618-1-ND
L2,1,2.2uH,Vishay-Dale,IHLP2525CZER2R2M01,541-1008-1-ND
"Q1, Q2, Q3, Q7",4,Q_PMOS_DMP3056L-7_SOT-23,Diodes Incorporated,DMP3056L-7,DMP3056L-7DICT-ND
Q6,1,2N7002-7-F,Diodes Incorporated,2N7002-7-F,2N7002-FDICT-ND
R1,1,324k,Panasonic Electronic Components,ERJ-2RKF3243X,P324KLCT-ND
"R2, R6, R9, R10, R11, R12, R16, R17, R18, R20",10,100k,Yageo,RC0402FR-07100KL,311-100KLRCT-ND
R3,1,255k,Yageo,RC0603FR-07255KL,311-255KHRCT-ND
R4,1,17.4k,Yageo,RC0402FR-0717K4L,311-17.4KLRCT-ND
R5,1,100k,Yageo,RC0603FR-07100KL,311-100KHRCT-ND
"R7, R15, R19, R22, R25, R26, R27",7,DNP,DNP,,
R8,1,220,Yageo,RC0603FR-07220RL,311-220HRCT-ND
"R13, R14",2,1.8k,Yageo,RC0603FR-071K8L,311-1.80KHRCT-ND
R23,1,5.23k,Yageo,RC0603FR-075K23L,311-5.23KHRCT-ND
R24,1,30.1k,Yageo,RC0603FR-0730K1L,311-30.1KHRCT-ND
SW1,1,Tact,C&K,KMR221GLFS,401-1427-1-ND
"TP1, TP2",2,DNP,DNP,,
"TP3, TP4, TP5, TP6, TP7, TP8",6,DNP,DNP,,
U1,1,TPS61088,Texas Instruments,TPS61088RHLR,296-43620-1-ND
U2,1,BQ25895RTW,Texas Instruments,BQ25895RTWR,296-44345-1-ND
U3,1,STM32F412RETx,ST,STM32F412RET6,497-19350-1-ND
U4,1,ATtiny85-20SU,DNP,,
U5,1,ME6210A33M3G,MicrOne,ME6210A33M3G,
U6,1,NCP380HMU21AATBG,On Semi,NCP380HMU21AATBG,NCP380HMU21AATBGOSCT-ND
